id	path	symbol	line	file_sha256
D02	v2/daemon/src/loops.ts	stepSnapshot	339	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D02	v2/daemon/src/loops.ts	refreshSnapshot	328	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D03	v2/daemon/src/loops.ts	observe	307	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D03	v2/daemon/src/loops.ts	applyObservation	376	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D03	v2/daemon/src/loops.ts	applyEvidence	544	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D03	v2/daemon/src/loops.ts	applyObservationCursors	626	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D04	v2/daemon/src/daemon.ts	adoptSurvivors	843	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
D04	v2/daemon/src/loops.ts	boot	231	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D05	v2/daemon/src/loops.ts	reviveAfterStopIfRequested	583	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D05	v2/daemon/src/loops.ts	pendingStopExists	644	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D06	v2/daemon/src/loops.ts	bootHangPolicy	655	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D06	v2/daemon/src/loops.ts	scaleToZeroPolicy	670	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D06	v2/daemon/src/loops.ts	degradedMailPolicy	690	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D07	v2/daemon/src/loops.ts	executeCommands	706	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D07	v2/daemon/src/loops.ts	startRuntime	741	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D08	v2/daemon/src/loops.ts	deliveryLoop	895	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D08	v2/daemon/src/envelope.ts	deliveryText	43	dc0bff3d7706be31b3fce162e370c1e6e6b7ed8cd2eca43ab1ba6e9ccada6c7a
D09	v2/daemon/src/loops.ts	i1Telemetry	960	d12a38a478951808773c30aea6b9ac70d83f48c66f37876f49220ab97914cafb
D09	v2/daemon/src/telemetry.ts	TelemetryStore	55	0f234f5f77df593387db1ed6c08ba64ccd45f3ffa60303bbd178765aefd0980c
D10	v2/daemon/src/daemon.ts	shutdown	587	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
R01	v2/cli/src/client.ts	RpcClient.connect	41	421e107f912c5f9fae6d51cb2e3b10d8ffe83e70e6660adef03392d59739cafd
R01	v2/cli/src/client.ts	request	96	421e107f912c5f9fae6d51cb2e3b10d8ffe83e70e6660adef03392d59739cafd
R01	v2/daemon/src/rpc.ts	onConnection	175	16b119147b0fc12b32194dc7c255d6fc8910aa0644306c42f9ad19bc6559508e
R02	v2/daemon/src/rpc.ts	onData	204	16b119147b0fc12b32194dc7c255d6fc8910aa0644306c42f9ad19bc6559508e
R02	v2/daemon/src/rpc.ts	onFrame	216	16b119147b0fc12b32194dc7c255d6fc8910aa0644306c42f9ad19bc6559508e
R02	v2/cli/src/client.ts	onData	124	421e107f912c5f9fae6d51cb2e3b10d8ffe83e70e6660adef03392d59739cafd
R03	v2/daemon/src/rpc.ts	onConnection.send	46	16b119147b0fc12b32194dc7c255d6fc8910aa0644306c42f9ad19bc6559508e
R04	v2/daemon/src/daemon.ts	snapshot	2205	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
