scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
core-1000x1,store.reopen.cpu,ms,4.05,3.86,-4.691358024691361,4.95,5.28,15
core-1000x1,storage.closed,bytes,1626112,1626112,0,1626112,1626112,1
core-1000x20,view.all.wall,ms,185.39758399999846,41.79791599999953,-77.45498344789657,334.012917,51.40991700000086,15
core-1000x20,view.all.cpu,ms,70.266,28.82,-58.984430592320614,83.388,33.937,15
core-1000x20,view.active.wall,ms,123.84108300000298,36.00795800000196,-70.92406079814313,153.13891699999658,51.56499999999869,15
core-1000x20,view.active.cpu,ms,77.66,24.291,-68.72134947205768,95.016,45.639,15
core-1000x20,view.one.wall,ms,0.09395800000493182,0.1698340000002645,80.75523105148041,1.491541999996116,1.3010419999991427,15
core-1000x20,view.one.cpu,ms,0.091,0.174,91.2087912087912,0.344,0.386,15
core-1000x20,audit.tail.wall,ms,1.0358330000017304,0.829874999999447,-19.883320960226147,3.1069579999966663,1.7252079999998386,15
core-1000x20,audit.tail.cpu,ms,0.911,0.774,-15.038419319429197,1.336,1.376,15
core-1000x20,mail.pending.wall,ms,0.003958000001148321,0.005541999998968095,40.02021216170321,0.030082999997830484,0.5362920000006852,15
core-1000x20,mail.pending.cpu,ms,0.006,0.01,66.66666666666667,0.04,0.105,15
core-1000x20,core.quietStep.wall,ms,110.27716599999985,45.24554100000023,-58.97107022137267,156.71616599999834,58.03837500000009,15
core-1000x20,core.quietStep.cpu,ms,63.258,29.145,-53.92677605994499,74.475,39.034,15
core-1000x20,storage.open,bytes,39918488,39918488,0,39918488,39918488,1
core-1000x20,store.reopen.wall,ms,6.859041999996407,4.827166999999463,-29.62330599518137,14.1282910000009,7.927917000000889,15
core-1000x20,store.reopen.cpu,ms,4.121,3.184,-22.737199708808543,5.998,4.45,15
core-1000x20,storage.closed,bytes,19726336,19726336,0,19726336,19726336,1
core-100x200,view.all.wall,ms,412.4463750000068,3.1237079999991693,-99.24263899761536,483.9849580000009,6.1177500000012515,15
core-100x200,view.all.cpu,ms,266.853,2.793,-98.95335634225584,299.93,3.844,15
core-100x200,view.active.wall,ms,487.7437920000011,2.84808300000077,-99.41606986153076,942.7595829999991,4.639208000000508,15
core-100x200,view.active.cpu,ms,281.682,2.053,-99.27116393663778,324.044,2.962,15
core-100x200,view.one.wall,ms,0.12254200000461424,0.07029099999999744,-42.63925837888179,0.572082999999111,0.09658399999898393,15
core-100x200,view.one.cpu,ms,0.125,0.077,-38.4,0.83,0.179,15
core-100x200,audit.tail.wall,ms,0.6182919999992009,0.7819579999995767,26.470664346390915,1.8049580000006245,1.95600000000195,15
core-100x200,audit.tail.cpu,ms,0.587,0.785,33.730834752981266,0.902,1.694,15
core-100x200,mail.pending.wall,ms,0.002749999999650754,0.0018339999987802003,-33.30909094497761,0.014082999994570855,0.025499999999738066,15
core-100x200,mail.pending.cpu,ms,0.005,0.003,-40,0.017,0.03,15
core-100x200,core.quietStep.wall,ms,427.2697079999998,4.221000000001368,-99.01209940209444,632.3325409999961,7.968124999999418,15
core-100x200,core.quietStep.cpu,ms,271.949,3.311,-98.78249230554258,323.057,4.623,15
core-100x200,storage.open,bytes,40156752,40156752,0,40156752,40156752,1
